content,adjectives,polarity
"Saya datang bersama keluarga tanggal 5 nopember 2015 . Hari Kamis siang, , suasana agak sepi termasuk penjaga atau pelayan nya pun tidak ada ditempat, , kami memesan makanan setelah berteriak mencari pelayannya,,makanannya sangat - sangat standar, , padahal disini termasuk rekomendasi dari tripadvisor . Suasana restonya juga kotor sekali terlihat dari sarang laba-laba di tempat lampu, , meja yang berdebu, , sayang sekali tempat besar tapi tidak dikelola . Lanjutan",[u'besar'],negative
"Untuk rasa biasa saja tidak membuat saya terkesan , dengan harga eerb untuk mie ayam dan segelas lemon tea katanya tapi yang disajikan bukan lemon tea bahkan jeruk nipis tea dengan ukuran gelas kecil terasa kurang menggigit dilidah , untuk pelayan perlu dilatih untuk melayani customer dengan sepenuh hati bukan lips service saja","[u'biasa', u'kecil']",negative
"Kopitiam Oey Braga , kopitiam ini menyediakan berbagai macam makanan , terutama makanan lokal/tradisional , penataan ruangan nya ala nyonya Belanda/Peranakan !",[u'terutama'],negative
"Nampak dari Luar , XO - suki nampak seperti resto yang berkelas . namun saat memilih makanan ( shabu2) , mulai nampak nampan yang digunakan sudah kotor dan banyak yang pecah . saat mangkok sumpit dan sendok dibagikan , kita wajib memeriksa satu persatu . mulai jelas resto ini mencuci peralatan makan'nya sangat asal-asalan . bekas makanan masih menempel basah dan warna sumpit yang sudah kotor tidak diperhatikan.! ! maka ,. Lanjutan","[u'Luar', u'banyak', u'jelas']",negative
"Makanan ok sama seperti xo suki lainnya . Tp walaupun hari libur besar seperti lebaran ini bukan berarti senyumnya libur dan order minum , dan lain-lain harus order berkali - kali . Tlg di jaga kepuasan pelanggannya . Trims .","[u'sama', u'besar', u'lain', u'lain']",negative
"Rasa bumbu nasi gorengnya tidak se-enak dulu lagi , terkesan hambar dan lebih asin . Perlu ada quality control rasa agar kualitas tetap terjaga .","[u'asin', u'tetap', u'terjaga']",negative
"Sudah makan disini kemarin , pesan menu beef steak . Dari lokasi , cukup nyaman . Untuk menu , tampaknya masih perlu peningkatan rasa karena hidangannya masih belum memenuhi pesanan . Orange squash nya kurang nendang soda - nya .","[u'cukup', u'nyaman', u'nya', u'nya']",negative
"Saya Dan keluarga datang kapan sekitar pkl 23.00,sebelumnya sudah ditanya Dan dijawab masih bisa menerima pesanan,setelah kita ada tiga group orang yang dtg,.yg buat saya heran,kelompok yang datang sesudah kami pesanannya datang lebih dulu,walaupun lama juga sekitar 1/2 jam,sedan kan kami sampai 1 jam pun belum _URL_ ditanya jawabannya,sudah di buat,tinggal _URL_ tunggu 15 menit,ditnya lg.dijawab,arangnya habis,msh di pembakaran.sekitar 15 . Lanjutan","[u'heran,kelompok', u'lama']",negative
"Pelayanan kurang aktif dan tidak ramah serta kurang dapat menjelaskan menu makanan yang ada , sehingga tamu merasa tidak diacuhkan dan didiamkan saja .","[u'aktif', u'ramah']",negative
"sebetulnya restoran ini memiliki makanan yang cukup _URL_ sayang pelayanannya _URL_ pelayan yang cuma 2 orang ( 2 orang itu sudah include kasir ! ) membuat mereka terlihat kewalahan dan melayanai dengan tidak maksimal.penyajian makanan yang dipesan juga mengecewakan . baru kali ini saya mengalami sop buntut bakar disajikan langsung dengan sambal langsung dicampur , alhasil anak saya yang tadinya mau makan tidak . Lanjutan","[u'cukup', u'include', u'kewalahan', u'baru', u'langsung', u'langsung']",negative
"Tadi Saya pesan chicken katsu plus kentang goreng . Tp alangkah sayang ternyata alat makan ( sendok dan garpu plastik tipis ) yang diberikan bahkan tidak sanggup menusuk kentang goreng . Coba dipikir apalagi untuk menusuk chicken katsu . Patah deh alat makannya , terus bagaimana saya makannya ? Sesulit itukah untuk menyediakan alat makan yang sesuai ? Atau mungkin kalau ada menu steak dikasih pisau plastik lagi .",[u'tipis'],negative
"Saya melipir ke Ayam Goreng Raos karena terdesak oleh hujan deras , sebelumnya belum pernah mampir ke sini . Nasi ayam bakar dengan tahu tempe dan es kakak perempuan manis Rp 25.000,00 . Agak mahal euy . Cukup enak sih , tapi tidak ada yang spesial baik dari rasa , bumbu , atau cara penyajian . Pantes sepi :(","[u'manis', u'Cukup', u'spesial', u'baik']",negative
"Tadi siang saya mampir bersama keluarga untuk makan siang di d'cost BIP & memesan makanan beserta 1 ( satu ) gelas es kelapa . Namun beberapa saat kemudian yang datang adalah 2 ( dua ) gelas es kelapa . Saya protes ke pelayan dan bilang saya hanya memesan 1 ( gelas ) saja , namun beberapa saat kemudian yang menerima order bersikeras bahwa saya memberikan 2 buah kartu es . Lanjutan",[u'bersama'],negative
"Seafood beraneka macam , boleh coba gurame goreng garing dan Cuma miscall telor asin , hanya saja meskipun harga kaki lima tapi rasa agak kurang enak dan makanan bukan fresh seafood","[u'garing', u'asin']",negative
"Untuk khas dari resto ini menurut saya tidak ada , porsinya kecil dan rasanya biasa saja . Jangan datang saat jam makan , ramainya bisa seperti pasar . Terakhir kami datang berempat pesan kakap asam manis , fu yung hai , tahu tempe dan sayuran . Tidak ada yang istimewa","[u'khas', u'kecil', u'biasa', u'Terakhir', u'manis']",negative
"Entah pas saya kesini atau kalau yang lain bagaimana , tapi waktu itu saya pesen kepiting asam manis , Cuma miscall tepung , kerang bambu saus tiram kok dingin iya , mana enak makan seafood sudah dingin begitu . padahal taste nya menurut saya enak dengan harga yang lumayan terjangkau","[u'pas', u'lain', u'manis', u'dingin', u'dingin', u'nya', u'lumayan']",negative
"Saya datang pada hari jum'at tanggal 28/11/2014 , saya beserta rombongan tidak mendapatkan service yang baik , karena waiter tidak mengulang pesanan yang kami pesan , sehingga terjadi kesalah pahaman dalam pemesanan . dan kami harus membayar dengan jumlah yang mahal . belum semua pesanan kami datang , kami diharuskan membayar bill yang di berikan waiter . untuk menu yang kami pesan . Lanjutan",[u'baik'],negative
"Sudah setahun setelah terakhir bandung akhirnya saya makan di ' cost lagi . di ' cost adalah tempat makan favorit saya karena masakannya enak , bersih dan harganya murah . Tapi setelah makan di di ' cost BIP kemarin , yang saya dapati adalah menu-menu yang "" tidak ada "" atau "" habis"" . Akhirnya saya dan keluarga hanya makan udang , tom yum dan sayur . Rasanya jauh dari enak . Tomyumnya tidak . Lanjutan","[u'terakhir', u'favorit', u'bersih', u'murah', u'jauh']",negative
"rasanya sih kok harga kaki lima dan rasanya iya tidak jauh dari situ iya . Tempatnya saja sih bentuknya restoran , kalau soal rasa . iya gitulah .",[u'jauh'],negative
"Kali ini kamar nya bagus tapi sayang signal wif tidak sampai dalam kamar dan suara tv nya yang berbayang , semoga di perbaiki lagi iya .","[u'signal', u'iya']",negative
"Saya waktu itu lyat banner menu baru dari hokben , namanya hot chicken steak Karena sudah malam jadi memutuskan untuk takeaway , dan disuruh menunggu katanya 15 menit tapi lamma bahkan maw setengah jam Fyi , paket ini terdiri dari nasi , hot chicken , sayuran , ocha dan miso soup Ternyata pas sampai rumah kok miso soupnya tidak ada ? apakah kalau takeaway jadi tidak dapat . Lanjutan","[u'baru', u'jadi', u'lamma', u'pas', u'jadi']",negative
Pilihan menunya banyak . Masakannya biasa saja rasanya . Kwetiau gorengnya kurang enak dan banyak minyak . Porsi kailan cah sapinya sedikit untuk harga segitu .,"[u'banyak', u'biasa', u'banyak', u'sedikit']",negative
Saya tadinya penasaran dengan tempat ini karena di tempatnya banyak sekali foto-foto kunjungan para artis ke tempat ini tapi pas saya pesan makanan unggulan di tempat ini saya rasa tidak setinggi pemikiran saya yang ada biasa saja dan keras . Jadi aneh bagi saya tempat ini bisa sebegitu terkenalnya,"[u'penasaran', u'banyak', u'pas', u'biasa', u'keras', u'Jadi', u'aneh']",negative
Batagor riri memang hadir sejak dulu . Bahkan dari harga per potongnya 250 rupiah pun saya pernah rasa . Sayangnya makin lama batagor riri makin tenggelam dibanding competitor sejenis . Memang lebih baik cari opsi lain jika ingin membawa oleh - oleh keluarga karena its not worth for value .,"[u'lama', u'baik', u'lain']",negative
"Batagor Atau Baso Tahu Goreng merupakan Kudapan yang diyakini khas Bandung.Namun ternyata merasakan Batagor langsung di Kota Bandung tidak Istimewa sama sekali . Batagor Riri yang digadang - gadang sebagai salah satu Topnya Batagor Bandung ternyata rasanya Biasa saja , Bumbu Kacangnya kental dan cenderung manis . Konsep Kedainya dimodel seperti restoran cepat saji dan pelayanan yang diberikan sangat minimalis . Anda harus memesan . Lanjutan","[u'khas', u'langsung', u'Istimewa', u'sama', u'gadang', u'salah', u'Biasa', u'kental', u'cenderung', u'manis', u'cepat', u'minimalis']",negative
"Saya makan di Paskal Hypersquare . Saya order sate kambing campur . To be honest , taste nya disaster . Plus harga nya ( Rp 55,000/porsi ) cukup over price . Kecewa berat dan tidak akan repeat .","[u'nya', u'nya', u'cukup', u'berat', u'repeat']",negative
Pesan pasta dengan saus putih tapi sausnya kurang kental dan kurang rasa . Kalau pastanya sih dimasaknya pas tidak terlalu lunak cuma rasa sausnya kurang enak . Salmonnya juga bumbunya tidak enak . Sangat mengecewakan .,"[u'putih', u'kental', u'pas', u'lunak']",negative
"Pada hari sabtu saya mengajak tamu saya dari media Jakarta 4 orang , dengan ekspektasi bahwa ini adalah tempat minum kopi terbaik di Bandung ( rekomendasi dari orang2) . Ternyata pelayanannya kurang baik . Kami memaklumi waktu pelayanan yang terbilang lama dikarenakan sedang rush hour , akan tetapi tanggapan waiter yang bernama angga yang membuat kami kecewa . pada pulul 13.50 kami sudah selesai melakukan order, . Lanjutan","[u'terbaik', u'baik', u'lama', u'kecewa']",negative
Ini kunjungan pertama kami me Noah's barn dago . Sebelumnya kami repeater do Noah's barn cibeureum . Karna kami sangka dsini suasana lbh bagus Dan menu lbh _URL_ saya terkejut dengan sikap pelayan yang tidak ramah . Kami akn duduk di sofa luar atas suggest pelayan _URL_ pelayan pria tidak mengizinkan dengan alasan malas membersihkan . ( mereka ngobrol berdua tapi pelayan pria sengaja . Lanjutan,"[u'ramah', u'akn', u'luar']",negative
"Nasgor cukup enak , tapi ada baiknya tidak terlalu basah berminyak . Tenderloin , welldone tapi saat dicocok garpu , masih ada rembesan darah . Suasana cukup nyaman , toilet perlu perhatian kebersihan , tisue berserak dsb. Parkir saat penuh , krg pas penawaran Valet nya , kalau pada akh ada overcharge dari tarif seharusnya .","[u'cukup', u'cukup', u'nyaman', u'penuh', u'pas', u'nya']",negative
Senin 25 juli 2016 makan siang bersama teman . Begitu duduk lsg dusajikan menu makanan apa adanya . Cuma 3 macam menu dan tidak ada lalapan labu siam . Sdh minta bbrp tambahan menu sama sekali tidak respon . Akhirnya saya hanya makan ala kadarnya yang tentu tidak ada nafsu sm sekali .,[u'sama'],negative
"bandung suki restoran ini sudah tak enak lagi . beda sejak pertama buka , tamu berjubel harus tunggu , kebagian meja , sekrang kosong melompong , makan rasa nya sudah tak enak lagi , saya tidak kepaksa tak kesini .",[u'kosong'],negative
"Entah kenapa rasanya jadi kurang , saus tiram terlalu over rasanya , saus padang juga agak aneh , yang enak cmn gurame saus bali nya.kangkung polos tidak brasa , yang terasi cmn rasa terasi.kerang-kerang _URL_ tidak responsif , susah _URL_ campur kosong . Kecewa sama kunjungan terakhir _URL_ sblmnya dtang ksini enak .","[u'jadi', u'aneh', u'responsif', u'susah', u'kosong', u'sama', u'terakhir']",negative
"Kami melihat beberapa review dari guest comment setelah muter-muter tibalah kami di PARIT SEAFOOD . pesan ini itu sudah pada habis kecuali kepiting , udang , ikan kerapu _URL_ . kami pesanlah udang goreng tepung , dan Cuma miscall saos padang berikut ikan kerapu di buat tomyam Kebersihan bad _URL_ dirty dan tiba lah menu udang + Cuma miscall agak terlambat sekali staff nya karena hampir . Lanjutan",[u'nya'],negative
"Ketika saya training di Bandung , acara makan malam bersama diadakan di caf ini . Dari lokasinya sangat strategis karena berada di jalan Dago , dekat dengan Simpang Dago . Layout dan suasana cafenya juga OK . Tapi makanannya tidak enak . Makanan yang saya pesan tidak saya habiskan sehingga pulang dari caf ini , saya masih kelaparan","[u'training', u'bersama', u'strategis', u'dekat']",negative
"Sempat menjadi favorit namun hilang begitu saja . Makananya begitu tawar , steak tidak lagi menggoda seperti dulu . Ternyata kokinya pindah ke FCL , jadi jika ingin menikmati steak enak ala Suis sebaiknya di FCL saja","[u'favorit', u'jadi']",negative
"Suis Butcher adalah favorit saya selama lebih dari 10 tahun menemani . Akhir Januari lalu kami kembali mencoba dengan menu favorit saya chicken kiev dan sirloin steak . Saya dan mama saya makan berasa sangat hambar , sehingga kami menanyakan pada pelayan mengapa rasanya tidak se enak dulu . Ternyata Suis telah memindahkan chef di Setiabudhi ke FCL , kontan saya juga pindah jadi langganan . Lanjutan","[u'favorit', u'Akhir', u'lalu', u'favorit', u'kontan', u'jadi']",negative
"Dulu waktu saya kecil suka berenang disini sambil makan cemilan . Cemilan yang paling saya suka itu bitterballen dan chicken drumsticknya . Bitterballennya rasanya masih sama tapi chicken drumsticknya rasanya sudah menurun jauh . Sup krim ayamnya juga kurang enak . Cukup kecewa secara overall . Untuk tempat , sangat nyaman untuk bersantai .","[u'kecil', u'sama', u'jauh', u'Cukup', u'kecewa', u'nyaman']",negative
Sate goreng ditawarkn sebagai spesiality oleh pelayan . Ternyata hanya 2 potong iga sapi dengan sedikit sekali daging . Lebih banyak lemak dan urat . Yang lainnya masih ok .,"[u'sedikit', u'banyak', u'ok']",negative
"Beberapa kali mengunjungi mall ini , kesannya mall ini membingungkan dan mahal . Petunjuk di dalam mall juga kurang , dan jalurnya terlalu banyak . Barang - barang branded bisa ditemukan disini , dengan harga yang sesuai dengan brandnya . Untuk kulinernya juga termasuk mahal , dan variasinya kurang banyak . Tapi boleh lah kalau cuma untuk berjalan - jalan .","[u'banyak', u'banyak']",negative
"Nama mall kurang sesuai dengan kenyataan . hanya restaurant saja dan beberapa mahal harga - nya , kalau tidak ada CGV Blitz mungkin makin sepi saja mall ini . Ke sana hanya untuk makan burger saja , yang lain mahal . bisa bisa iooribu habis untuk makan malam saja untuk 1 orang","[u'nya', u'lain', u'iooribu']",negative
"Sesuai rekomendasi , saya mencoba shinmen ramen special dan rasanya menurut saya biasa saja dan kurang cocok di lidah","[u'biasa', u'cocok']",negative
"Saya suka interior design dan live music Menu makanan high class dengan harga mahalnya tapi rasa tak lezat,,,,,ga suka dengan bumbu masakannya",[],negative
"Kalau makanan kembali lagi ke selera masing-masing . Menurut pendapat saya rasa bakso ini biasa saja , tidak ada yang spesial . Saya pikir mengunakan mie telor tapi ternyata menggunakan mie tipis yang biasa untuk mie ayam . Saya dan suami pesan mie yamin dan rasanya terlalu manis bagi kami bahkan setelah ditambahi sambal banyak sekalipun rasa manisnya masih dominan . Untuk pangsit gorengnya dijual . Lanjutan","[u'biasa', u'spesial', u'tipis', u'biasa', u'yamin', u'manis', u'banyak', u'dominan']",negative
"Saya memesan iga bakar , setelah datang ternyata dagingnya masih dingin , seperti baru keluar dari freezer . Setelah memanggil waiternya untuk minta ganti ternyata mereka hanya memanaskannya dengan microwave . Sungguh mengecewakan .","[u'dingin', u'baru']",negative
"Makanan tidak ada yang bisa dipesen , kopi juga tidak ada . pesen onion ring dikasih calamari , chicken katsu tipis banget plus nasi 35 rb tidak worth banget . bawaannya pgn marah . sori tidak bakal balik lagi .",[u'tipis'],negative
Mesen nasi goreng pete tapi pete nya tidak ada terus bumbu nasinya hambar plus kerupuk aci nya melempem.Mesen cireng rasanya asin.Mesen sate ayam pedas banget.Mesen tahu kriuk rasanya pahit .,"[u'nya', u'pedas']",negative
"Cafe yang sudah tua , dengan buku menu yang SANGAT usang bahkan ada 2 lembar menu saya yang hilang pada saat dikasih ( lalu waitress nya carikan buku yang lain lagi , namun ada yang hilang dengan halaman yang berbeda ) Cafe sangat gelap , live music terlalu kenceng , saking kencengnya waitress salah dengar berkalikali ( pertama saya menu A yang datang . Lanjutan","[u'tua', u'lalu', u'lain', u'berbeda', u'saking', u'salah']",negative
"Pertama x coba kesini bareng keluarga,duduk tidak dikasih menu . Lalu menu minta dan menunya sudah hancur banget lepas-lepas begitu buku menunya . Keadaan meja dan kursi agak kotor dan tidak terawat . Waktu lagi lihat menu,waiternya ( cowo ) bilang : agak cepat iya pesennya . Di atas ada yang booking puluhan orangii ! Gak sopan banget very bad attitude . Akhirnya cm psan minuman dan kita langsung . Lanjutan","[u'Lalu', u'banget', u'cepat', u'sopan', u'langsung']",negative
"Rumah makan ini sudah agak lama perlu direnov , meja kotor dan furniture sudah tidak terawat . Untuk ayam goreng terlalu berminyak , meskipun sambal cukup banyak dari sambal mangga , terasi , kecap dan sambal hiaju tapi suasana kurang mendukung","[u'lama', u'cukup', u'banyak']",negative
"Untuk soal rasa , disini memang tidak ada masalah , enak , bervariasi , dan harga terjangkau . Namun pelanannya yang sangat mengecewakan . Saya memesan 3 ikan mas dan beberapa makanan lainnya , pelayan yang mencatat saat itu tidak mengatakan apa - apa . Namun , setelah menunggu selama hampir 1 jam , baru minuman saja yang datang , makanan yang kami pesan , tidak ada satu pun yang datang . Lalu , seorang pelayan . Lanjutan","[u'baru', u'Lalu']",negative
"Bingung deh , selalu saja tidak bisa ikutan kumpul-kumpul karena memang ramai banget Yasudahlah yah kayaknya memang lebih enak aku drive thru saja Berhubung di dago posisinya sumpah ini mcd paling ramai . Baca : RAMEH !","[u'Bingung', u'ramai', u'ramai']",negative
"Kami sekeluarga ke tempat ini karena hari sudah larut malam dan tidak ada resto lain yang buka . Ternyata jam 10 malam pun tempat ini masih macet , parkir penuh dan tempat duduk di dalam resto penuh . Petugas yang tampak kelelahan melayani dengan masam . Ampun . Akhirnya makanan kami bawa ke hotel .","[u'larut', u'lain', u'buka', u'penuh', u'penuh']",negative
Kangkung cah hotplate dan udang kipasnya enak sekali . Fuyunghai juga patut dicoba . Sayang restorannya kotor . Lihat kecoa kecil di dekat piring-piring sayur bersih yang dipakai untuk menyajikan makanan . Dan ada kecoa kecil juga di tempat duduknya . Berharap kebersihan tempat diperbaiki karena rasa sudah pas di lidah orang bandung .,"[u'kecil', u'dekat', u'bersih', u'kecil', u'pas']",negative
+ wifinya kenceng + kakak perempuan nya gelas gede - less cholesterol ( di gambarnya begitu ) - makanan terlalu berminyak - rasanya kurang oke - menunggu 30 - 40 menit buat makanan datang ( sudah dibilangin bakal lama karena lebaran ),"[u'gede', u'lama']",negative
"Penyajian makanan dan minuman terlalu lama.makanan sudah habis tapi minuman belum keluar saja , sampai harus menunggu lama .","[u'lama.makanan', u'lama']",negative
"Positif : - Atmosfir dengan kursi dan meja dengan kayu berkualitas Negatif : - Menu makanan banyak yang tidak tersedia - Harga tidak value for money - Pelayanan kurang memuaskan - Nasi Liwet yang tidak standar , order 2 kuali ( yang satu asin standar , yang satu asin banget )","[u'Negatif', u'banyak', u'asin', u'asin']",negative
"Waktu lihat menu tidak ada harga sudah curiga pasti mahal . Makanannya lumayan , service biasa . Harga selangit tapi restorannya biasa banget , tidak sesuai . Banyak lalat lagi . Saya dan keluarga makan di restaurant-restaurant yang jauh lbh nyaman di ciwalk , dago atau pvj saja tidak semahal itu . G akan balik lagi ke mandarin restaurant . Sangat tidak disarankan makan di sini !","[u'pasti', u'lumayan', u'biasa', u'biasa', u'banget', u'Banyak', u'jauh', u'nyaman']",negative
"Tertarik masuk restoran ini karena ramai , interiornya yang seperti menonjolkan suasana rumah jaman dulu , dan buku menu yang menawarkan menu dengan harga pas di kantong . Setelah saya memesan ternyata kesan pas di kantong menjadi berubah . Menu ikan kembung yang lebih murah ternyata tanpa nasi . Untuk menu satu piring ikan kembung ala rumahan ( beserta lauk lain pelengkapnya ) dan segelas kakak perempuan tarik, . Lanjutan","[u'ramai', u'pas', u'pas', u'murah', u'lain']",negative
"Kunjungan : Sabtu siang 30 Agustus 2014 . Suasana resto ini pada awalnya menarik karena dibuat retro dengan pajangan aneka barang tempo dulu . Menilik daftar makanan yang khas Pasundan , kami pun ( 9 orang ) masuk . Resto sangat ramai di Sabtu siang itu . Pesanan lama , bahkan satu dua menu tercecer sehingga terlambat sampai satu jam sejak pesanan _URL_ melihat ada pengunjung lain . Lanjutan","[u'awalnya', u'menarik', u'khas', u'ramai', u'lama', u'lain']",negative
Awal datang semua berjalan _URL_ ketika tahu ternyata semua ruangan smoking _URL_ kita membawa anak balita maka kita memilih ruangan didepan dengan pertimbangan _URL_ order taker datang dan kita mulai _URL_ makanan datang dengan _URL_ setelah itu masalah datang setelah makanan kita semua habis minuman yang kita order tidak ada yang keluar.sedangkan orang-orang yang baru datang langsung mendapatkannya.1.2.3 kali kita . Lanjutan,"[u'Awal', u'baru', u'langsung']",negative
"Minumnya lama sampai 30 menit lebih , Setelah sampai semua minumannya terlalu manis,amat sangat tidak menyarankan",[u'lama'],negative
"Sebenarnya EATBOSS Hegarmanah , karena tidak ada jadi diwakili , first impression is elegant , design dan tema dan suasana yang cozy dan keren cocok buat family dan tempat hangout , makanannya juga sesuai harga untuk kalangan mahasiswa , tapi butuh waktu Setengah jam untuk diberikan sendok garpu setelah makanan datang , pikir saja jika makan tanpa sendok garpu , sekalian saja ke warung tegal , biar ambil sendiri . Lanjutan","[u'jadi', u'cozy', u'keren', u'cocok', u'sendiri']",negative
Makanan OK . Parkiran susah benar sampai muter enya . SARAN : parkir di Braga Hotel saja terus jalan kaki . RESTAURANT di area perumahan .,"[u'susah', u'benar']",negative
_URL_ enak . Kerupuk pangsit nya favorit . Klo kesana dan blom pernah coba lebih baik kasih tahu dulu jangan terlAlu pedas . Bakpao nya lumayan,"[u'favorit', u'coba', u'baik', u'pedas', u'lumayan']",negative
"Pada bilang disini pastanya enak . Tapi setelah coba , dari 2 minuman dan 2 makanan , yang rasanya benar cuma 1 minuman . Pasta cream saucenya biasa saja dan kurang berasa . Thai tea nya aneh , pasta panggangnya tidak jelas rasanya . Hanya kemakan 2 suap .","[u'coba', u'benar', u'biasa', u'aneh', u'jelas']",negative
Kami makan disini untuk pertama kali dan kami memilih untuk duduk di lesehan . Terus terang kami merasa sangat tidak nyaman karena ada kucing-kucing yang berkeliaran dan parahnya kucing tersebut bisa sampai meloncat naik ke atas mejai ! Pelayannya sudah dikasitau tapi hanya mengusir scra biasa saja dan hal tersebut mengakibatkan kucing tersebut kembali lagi.! ! Seharusnya mereka menjaga dan membawa kucing itu . Lanjutan,"[u'terang', u'nyaman', u'biasa']",negative
"Lokasi dekat dengan Jendela Alam , dan kami memutuskan untuk makan setelah dari jendela alam , saat kami datang terlihat dari luar , kondisi restoran sangat gelap dan sepi , tetapi untuk bisa memesan tempat lesehan di dekat sawah perlu waiting list . jadi kami memutuskan makan di dekat danau yang terletak lebih ke dalam , dan ada parit-parit kecil yang benar-benar tidak terawat , air yang . Lanjutan","[u'dekat', u'luar', u'dekat', u'jadi', u'dekat', u'kecil', u'benar', u'benar']",negative
Pergi bersama keluarga makan malam Harganya mahal dengan rasa yang biasa saja Suasana ok tapi tidak special sekali,[u'biasa'],negative
"Makanan nya biasa saja . Ya harga bisa di bilang relatif . Mendekati mahal . Saya berdua sama istri cm pesan 2 nasi putih , mie tet - tek , 2 bandrek , 2 aqua , kroket lengket , udang goreng tepung , kena isok . Di tambah pajak ppn & service sok . Total yang kami habis kan 200.001 . Sawah nya pun biasa menurut saya .","[u'biasa', u'relatif', u'sama', u'putih', u'lengket', u'biasa']",negative
"Sebagai pelanggan lama , kami kembali datang setelah sekian lama untuk menikmati steak yang yang terkenal murah meriah.Seperti biasa saya pesan tenderloin favorit . Tetapi banyak yang berubah selain harga juga ukuran steak yang kecil sekali dengan salad berupa wortel,jagung dan kacang polong yang amat sedikit mungkin cm sesendok makan , dengan pelayan yang sangat tidak tanggap dan tidak sopan.Saya amat kecewa . Lanjutan","[u'lama', u'lama', u'murah', u'biasa', u'favorit', u'banyak', u'kecil', u'salad', u'sedikit', u'tanggap', u'kecewa']",negative
"Setiap kali saya pergi ke Bandung , Suis Butcher is a must place to visit karena mereka memiliki the best and the most delicious steak ( named Entre Cote) . Sayang di kunjungan terakhir sudah tidak ada lagi dan yang lebih mengecewakan saat itu di menu masih tertulis dan pelayannya tidak menginfokan bahkan menghidangkan steak lainnya tanpa seizin saya . Sebagai "" penggila "" entre cote . Lanjutan","[u'best', u'terakhir']",negative
